feature,importance
200721_s_at,3.589985623446363e-09
200722_s_at,0.0
200723_s_at,6.514023550318988e-08
200724_at,0.0
200725_x_at,0.0
200726_at,0.0
200727_s_at,0.0
200728_at,0.0
200729_s_at,0.0
200730_s_at,0.0
200731_s_at,0.0
200732_s_at,0.0
200733_s_at,0.0
200734_s_at,0.0
200735_x_at,0.0
200736_s_at,0.0003251065674220802
200737_at,1.8225934637383224e-06
200738_s_at,0.0
200739_s_at,2.5578490130775824e-06
200740_s_at,0.0
200741_s_at,0.0
200742_s_at,0.0
200743_s_at,0.0
200744_s_at,0.0
200745_s_at,1.6600925953772629e-06
200746_s_at,0.0
200747_s_at,0.0
200748_s_at,0.0
200749_at,0.0
200750_s_at,0.0
200751_s_at,0.0
200752_s_at,1.5968445682030422e-05
200753_x_at,0.0
200754_x_at,5.096480988463613e-07
200755_s_at,0.0
200756_x_at,0.0
200757_s_at,0.0
200758_s_at,0.0
200759_x_at,0.0
200760_s_at,6.875444269507584e-05
200761_s_at,0.0
200762_at,0.0
200763_s_at,0.0
200764_s_at,0.0
200765_x_at,0.0
200766_at,0.0
200767_s_at,0.0
200768_s_at,0.0
200769_s_at,0.0
200770_s_at,0.0
200771_at,0.0
200772_x_at,0.0
200773_x_at,0.0
200774_at,0.0
200775_s_at,0.0
200776_s_at,1.1037422541589524e-06
200777_s_at,0.0
200778_s_at,0.0
200779_at,0.0
200780_x_at,1.7899853642124716e-05
200781_s_at,0.0
200782_at,1.0732648405676522e-05
200783_s_at,3.558878932833443e-06
200784_s_at,0.0
200785_s_at,0.0
200786_at,0.0
200787_s_at,0.0
200788_s_at,0.00011034960551716448
200789_at,0.001058853335851632
200790_at,0.0
200791_s_at,0.0
200792_at,0.0
200793_s_at,0.0
200794_x_at,0.0
200795_at,0.0
200796_s_at,0.0
200797_s_at,0.0
200798_x_at,0.0
200799_at,0.0
200800_s_at,0.0
200801_x_at,1.8412401725667318e-05
200802_at,0.0
200803_s_at,3.590763701884755e-06
200804_at,0.0
200805_at,0.0
200806_s_at,0.0
200807_s_at,7.201275049039731e-05
200808_s_at,0.0
200809_x_at,0.0
200810_s_at,0.0
200811_at,0.0
200812_at,8.559638439410591e-07
200813_s_at,8.852551606153889e-05
200814_at,0.0
200815_s_at,0.0
200816_s_at,0.0
200817_x_at,0.0
200818_at,0.0
200819_s_at,0.0
200820_at,0.0
200821_at,0.0
200822_x_at,0.0
200823_x_at,0.0
200824_at,7.71922995398769e-06
200825_s_at,4.649733036958993e-06
200826_at,0.0
200827_at,0.0
200828_s_at,0.0
200829_x_at,0.0
200830_at,0.0
200831_s_at,0.0
200832_s_at,5.7878103363343076e-05
200833_s_at,0.0
200834_s_at,0.0
200835_s_at,0.0
200836_s_at,1.0511920843728272e-08
200837_at,0.0
200838_at,0.0
200839_s_at,0.0
200840_at,2.3872374221963446e-06
200841_s_at,1.0330288364566833e-07
200842_s_at,0.0
200843_s_at,0.0
200844_s_at,6.692619689084911e-09
200845_s_at,0.0
200846_s_at,2.434524991146306e-06
200847_s_at,0.0
200848_at,0.0
200849_s_at,2.155816354213051e-06
200850_s_at,1.4096006149199882e-06
200851_s_at,1.6290961344849098e-06
200852_x_at,0.0
200853_at,0.0
200854_at,0.0
200855_at,0.0
200856_x_at,0.00040459627753905637
200857_s_at,0.0
200858_s_at,1.5755453164028144e-05
200859_x_at,0.0
200860_s_at,5.007167481097216e-06
200861_at,0.0
200862_at,0.0
200863_s_at,0.0
200864_s_at,9.773150721529407e-07
200865_at,0.0
200866_s_at,4.277615714396474e-08
200867_at,0.0
200868_s_at,0.0
200869_at,0.0
200870_at,0.0
200871_s_at,1.1952307116891245e-07
200872_at,0.0
200873_s_at,0.0
200874_s_at,0.0
200875_s_at,0.0006093893355424481
200876_s_at,0.0
200877_at,1.906217692542388e-07
200878_at,0.0
200879_s_at,5.421255998058214e-07
200880_at,0.0
200881_s_at,1.1963180864294325e-05
200882_s_at,0.0
200883_at,0.0
200884_at,0.0
200885_at,1.6263902690302143e-06
200886_s_at,0.0
200887_s_at,0.0
200888_s_at,0.0
200889_s_at,0.0
200890_s_at,0.0
200891_s_at,0.0
200892_s_at,0.0
200893_at,1.0643231047389421e-05
200894_s_at,7.592500071099914e-10
200895_s_at,0.0
200896_x_at,0.0
200897_s_at,0.0
200898_s_at,0.0
200899_s_at,0.0
200900_s_at,0.0
200901_s_at,0.0
200902_at,8.146488734602104e-07
200903_s_at,0.0009188436110067502
200904_at,0.0
200905_x_at,0.0
200906_s_at,0.0
200907_s_at,0.0
200908_s_at,0.00047985172706619777
200909_s_at,0.0
200910_at,0.0
200911_s_at,0.0
200912_s_at,0.0
200913_at,0.0
200914_x_at,9.099150775709826e-06
200915_x_at,0.0
200916_at,0.0
200917_s_at,0.0
200918_s_at,0.0
200919_at,0.0
200920_s_at,0.0
200921_s_at,0.0
200922_at,0.0
200923_at,0.0
200924_s_at,1.9620490558406855e-06
200925_at,0.0
200926_at,0.0
200927_s_at,0.0
200928_s_at,2.901007424202738e-06
200929_at,0.0
200930_s_at,0.0
200931_s_at,0.0
200932_s_at,0.0
200933_x_at,0.0
200934_at,4.594441479972223e-07
200935_at,0.00023053903665240584
200936_at,0.0
200937_s_at,0.0
200938_s_at,0.0
200939_s_at,0.00010559249857737333
200940_s_at,0.0
200941_at,0.0
200942_s_at,0.0
200943_at,0.0
200944_s_at,9.417689402812733e-08
200945_s_at,0.0
200946_x_at,0.00012600620978017295
200947_s_at,0.0
200948_at,9.951438758201814e-06
200949_x_at,0.0
200950_at,0.0
200951_s_at,0.0
200952_s_at,0.0
200953_s_at,0.0
200954_at,0.0
200955_at,0.0
200956_s_at,0.0
200957_s_at,0.0
200958_s_at,1.3933054831711304e-07
200959_at,9.886129594101438e-10
200960_x_at,0.00029085316417984056
200961_at,0.0
200962_at,0.0
200963_x_at,4.497501282527772e-08
200964_at,0.0
200965_s_at,0.0
200966_x_at,0.0
200967_at,0.0
200968_s_at,0.0
200969_at,0.0
200970_s_at,0.0
200971_s_at,3.4598046553415667e-05
200972_at,5.167434809025188e-06
200973_s_at,0.0
200974_at,0.0
200975_at,0.0
200976_s_at,8.179515643844363e-08
200977_s_at,3.098884570246522e-05
200978_at,0.0
200979_at,0.0
200980_s_at,0.0
200981_x_at,1.495711101968214e-11
200982_s_at,0.0
200983_x_at,0.0
200984_s_at,0.0
200985_s_at,0.0
200986_at,0.0
200987_x_at,2.2405396244145563e-06
200988_s_at,0.0
200989_at,0.0
200990_at,0.0
200991_s_at,0.0
200992_at,0.0
200993_at,1.1815529931067398e-05
200994_at,0.0
200995_at,0.0
200996_at,0.0
200997_at,5.308816272329525e-07
200998_s_at,1.0265705503989246e-05
200999_s_at,0.0
201000_at,2.677791960888011e-06
201001_s_at,5.636098536389001e-05
201002_s_at,0.0
201003_x_at,0.0
201004_at,1.5232141294324328e-07
201005_at,0.0
201006_at,0.0
201007_at,0.0
201008_s_at,0.0
201009_s_at,0.0
201010_s_at,0.0
201011_at,0.0
201012_at,4.167369256985744e-06
201013_s_at,0.0002886984486216846
201014_s_at,9.53910620673725e-08
201015_s_at,0.0
201016_at,0.0
201017_at,0.0
201018_at,7.719898549019146e-06
201019_s_at,0.0
201020_at,0.0
201021_s_at,0.0
201022_s_at,0.0
201023_at,0.0
201024_x_at,0.0
201025_at,0.0
201026_at,0.0
201027_s_at,0.0
201028_s_at,0.0
201029_s_at,2.7309436318850667e-07
201030_x_at,0.0004617916873585574
201031_s_at,5.861023945091505e-06
201032_at,0.0
201033_x_at,0.0
201034_at,0.0
201035_s_at,0.0
201036_s_at,0.0
201037_at,7.336702312103724e-06
201038_s_at,0.0
201039_s_at,0.0
201040_at,0.0
201041_s_at,0.0
201042_at,0.0
201043_s_at,2.568184305513338e-07
201044_x_at,0.0
201045_s_at,0.0
201046_s_at,0.0
201047_x_at,0.0
201048_x_at,0.0
201049_s_at,8.203118963910845e-08
201050_at,0.0
201051_at,0.0
201052_s_at,1.2983702645128784e-07
201053_s_at,0.0
201054_at,6.845956914255531e-06
201055_s_at,0.0
201056_at,0.0002973962031452943
201057_s_at,0.0
201058_s_at,0.0
201059_at,0.0
201060_x_at,0.0
201061_s_at,0.0
201062_at,0.0
201063_at,0.0
201064_s_at,0.0
201065_s_at,0.0
201066_at,2.49539774024878e-08
201067_at,0.0
201068_s_at,0.0009826479542243676
201069_at,4.2890363630541446e-08
201070_x_at,0.0
201071_x_at,0.0
201072_s_at,0.0
201073_s_at,0.0
201074_at,0.0
201075_s_at,0.0
201076_at,0.0
201077_s_at,0.0
201078_at,9.439796024434125e-06
201079_at,0.0
201080_at,0.0
201081_s_at,0.0
201082_s_at,4.228371614523267e-06
201083_s_at,0.0
201084_s_at,0.0
201085_s_at,0.0
201086_x_at,1.0362196949010338e-06
201087_at,0.0
201088_at,0.0
201089_at,0.0
201090_x_at,0.0
201091_s_at,0.0
201092_at,0.0
201093_x_at,0.0
201094_at,0.0
201095_at,0.0
201096_s_at,0.0
201097_s_at,5.650070513298075e-08
201098_at,0.0
201099_at,0.00036863495476969214
201100_s_at,0.0
201101_s_at,0.0
201102_s_at,0.0
201103_x_at,6.98582590491054e-06
201104_x_at,0.0
201105_at,0.00016533632017712958
201106_at,0.0
201107_s_at,0.0
201108_s_at,0.0006039205452079652
201109_s_at,0.0
201110_s_at,1.9255973003848385e-05
201111_at,0.0
201112_s_at,0.0
201113_at,6.167659357842614e-08
201114_x_at,0.0
201115_at,7.297895817297681e-08
201116_s_at,2.892956533766661e-06
201117_s_at,0.0
201118_at,0.0
201119_s_at,0.0
201120_s_at,0.0
201121_s_at,3.995039991844483e-06
201122_x_at,0.0
201123_s_at,0.0
201124_at,0.0
201125_s_at,8.757416362561845e-07
201126_s_at,0.0
201127_s_at,9.075270167609794e-06
201128_s_at,0.0
201129_at,0.0
201130_s_at,0.0
201131_s_at,3.666994032750711e-05
201132_at,0.0
201133_s_at,2.5551976056659602e-09
201134_x_at,0.0
201135_at,0.0
201136_at,2.1602177374832923e-09
201137_s_at,0.0
201138_s_at,1.4397884356105898e-08
201139_s_at,0.0
201140_s_at,0.0
201141_at,0.0
201142_at,0.0
201143_s_at,0.0
201144_s_at,0.0
201145_at,4.258646085696848e-06
201146_at,0.0
201147_s_at,0.0
201148_s_at,2.1048937903397523e-09
201149_s_at,0.0
201150_s_at,2.912958317297926e-07
201151_s_at,0.0
201152_s_at,5.107048627785824e-07
201153_s_at,0.0
201154_x_at,0.0
201155_s_at,4.1965523842845054e-09
201156_s_at,0.0
201157_s_at,0.0
201158_at,8.016192713801166e-06
201159_s_at,0.0
201160_s_at,0.0
201161_s_at,4.002953082315765e-07
201162_at,3.902125894300161e-09
201163_s_at,0.00034743888473412547
201164_s_at,0.0
201165_s_at,2.797241750485916e-06
201166_s_at,0.0
201167_x_at,0.0
201168_x_at,1.6068330306141052e-07
201169_s_at,0.0
201170_s_at,0.0
201171_at,1.0437520335593546e-09
201172_x_at,0.0
201173_x_at,0.0
201174_s_at,0.0
201175_at,0.0
201176_s_at,0.0
201177_s_at,0.0
201178_at,0.0
201179_s_at,1.2258846327103959e-06
201180_s_at,0.0
201181_at,2.1231646292994572e-05
201182_s_at,0.0
201183_s_at,0.0
201184_s_at,0.00018606343596770008
201185_at,0.0
201186_at,0.0
201187_s_at,0.0
201188_s_at,0.0
201189_s_at,0.0
201190_s_at,0.0
201191_at,1.9711761072233197e-10
201192_s_at,0.0
201193_at,0.0
201194_at,0.0
201195_s_at,0.0
201196_s_at,0.0
201197_at,2.6115181402149512e-08
201198_s_at,7.634672238939877e-11
201199_s_at,0.0
201200_at,7.379633291284696e-05
201201_at,0.0
201202_at,0.0
201203_s_at,0.0
201204_s_at,0.0
201205_at,7.021129646678065e-10
201206_s_at,0.0
201207_at,0.0
201208_s_at,0.0
201209_at,0.0
201210_at,0.0
201211_s_at,1.7671833280062842e-08
201212_at,0.0
201213_at,1.3552277194383574e-07
201214_s_at,0.0
201215_at,0.0
201216_at,0.0
201217_x_at,0.0
201218_at,0.0
201219_at,0.0
201220_x_at,2.3792915226450757e-05
201221_s_at,0.0
201222_s_at,0.0
201223_s_at,7.260437889119468e-08
201224_s_at,0.0
201225_s_at,0.0
201226_at,0.0
201227_s_at,0.0
201228_s_at,0.0
201229_s_at,0.0
201230_s_at,0.0
201231_s_at,0.0
201232_s_at,0.0
201233_at,0.0
201234_at,0.0
201235_s_at,0.0
201236_s_at,0.0
201237_at,0.0
201238_s_at,0.0
201239_s_at,0.0004374037415507753
201240_s_at,0.0
201241_at,0.0
201242_s_at,0.0
201243_s_at,8.9262139358026e-05
201244_s_at,0.00020955966240079576
201245_s_at,0.0
201246_s_at,0.0
201247_at,0.0
201248_s_at,0.0
201249_at,0.0
201250_s_at,3.7426150617417373e-06
201251_at,0.0
201252_at,0.0
201253_s_at,8.570287344223034e-05
201254_x_at,1.2361741679988271e-07
201255_x_at,8.3106289930476e-11
201256_at,0.0
201257_x_at,0.0
201258_at,0.0
201259_s_at,0.0
201260_s_at,0.0
201261_x_at,0.0
201262_s_at,0.0
201263_at,0.0
201264_at,6.027996991008885e-08
201265_at,0.0
201266_at,0.0
201267_s_at,0.0
201268_at,2.092239798392279e-08
201269_s_at,0.0
201270_x_at,0.0
201271_s_at,0.0
201272_at,1.7542659846402315e-08
201273_s_at,3.162840621942366e-08
201274_at,9.541883168355993e-08
201275_at,0.0
201276_at,3.820041629006616e-08
201277_s_at,0.0
201278_at,0.0
201279_s_at,5.061317530006742e-07
201280_s_at,5.070246099369853e-05
201281_at,0.0
201282_at,0.0
201283_s_at,0.0
201284_s_at,0.0
201285_at,1.9302276256484745e-05
201286_at,0.0
201287_s_at,1.5874763059454524e-06
201288_at,0.0
201289_at,8.898381531634382e-06
201290_at,3.673019429152502e-07
201291_s_at,8.407522551877348e-05
201292_at,0.0
201293_x_at,0.0
201294_s_at,0.0
201295_s_at,0.0
201296_s_at,0.0
201297_s_at,0.0
201298_s_at,6.304960925890942e-06
201299_s_at,0.0
201300_s_at,0.0
201301_s_at,0.0
201302_at,7.362862789450302e-07
201303_at,3.119443658921222e-07
201304_at,0.0
201305_x_at,0.0
201306_s_at,1.0090053646331376e-11
201307_at,0.00015096880226896203
201308_s_at,0.0
201309_x_at,0.0
201310_s_at,7.629768238430043e-10
201311_s_at,1.5860030919252965e-06
201312_s_at,0.0
201313_at,0.0
201314_at,2.4524198002567863e-09
201315_x_at,0.0
201316_at,4.057848089682964e-06
201317_s_at,0.0
201318_s_at,0.0
201319_at,0.0
201320_at,0.0
201321_s_at,0.0
201322_at,0.0
201323_at,0.0
201324_at,5.913956088079531e-09
201325_s_at,2.99794502323301e-07
201326_at,0.0
201327_s_at,0.0
201328_at,0.0
201329_s_at,4.544316791702718e-05
201330_at,0.0
201331_s_at,0.0
201332_s_at,0.0
201333_s_at,0.0
201334_s_at,0.0
201335_s_at,3.4381550485936735e-07
201336_at,0.0
201337_s_at,0.0
201338_x_at,0.0
201339_s_at,1.6909036417309773e-06
201340_s_at,2.4542865406972076e-05
201341_at,0.0
201342_at,0.0
201343_at,0.0
201344_at,0.0
201345_s_at,0.0
201346_at,0.0
201347_x_at,0.0
201348_at,0.0
201349_at,1.9505199034128706e-06
201350_at,0.0
201351_s_at,0.0
201352_at,2.924045114496135e-06
201353_s_at,0.0
201354_s_at,0.0
201355_s_at,0.0
201356_at,0.0
201357_s_at,6.57285431773276e-07
201358_s_at,1.6879257566827267e-07
201359_at,0.0
201360_at,0.0
201361_at,0.0
201362_at,0.0
201363_s_at,0.0
201364_s_at,0.0
201365_at,0.0
201366_at,4.261255842161293e-07
201367_s_at,0.0
201368_at,0.0
201369_s_at,1.8835832270375743e-07
201370_s_at,0.0
201371_s_at,0.0
201372_s_at,2.5047246309025275e-05
201373_at,5.033292062058204e-06
201374_x_at,0.0
201375_s_at,0.0
201376_s_at,0.0
201377_at,0.0
201378_s_at,0.0
201379_s_at,0.0
201380_at,0.0
201381_x_at,0.0
201382_at,2.5268908017462817e-09
201383_s_at,0.0002766742677675533
201384_s_at,0.0
201385_at,4.638567422682426e-06
201386_s_at,0.0
201387_s_at,1.0847611844917698e-07
201388_at,0.0
201389_at,0.0
201390_s_at,8.141595645169871e-08
201391_at,0.0
201392_s_at,0.0
201393_s_at,4.7539675772074775e-06
201394_s_at,0.0
201395_at,2.8378837732502037e-06
201396_s_at,0.0
201397_at,0.0001238036158358424
201398_s_at,0.0
201399_s_at,0.0
201400_at,3.901174273330808e-05
201401_s_at,0.0
201402_at,0.0020063224312106376
201403_s_at,0.0
201404_x_at,0.0
201405_s_at,1.2976006620679816e-07
201406_at,0.0
201407_s_at,0.0
201408_at,0.0
201409_s_at,1.1711976146290332e-07
201410_at,0.0
201411_s_at,0.0
201412_at,0.0
201413_at,0.0
201414_s_at,0.0
201415_at,0.0
201416_at,0.0
201417_at,0.0
201418_s_at,0.0
201419_at,0.0
201420_s_at,0.0
201421_s_at,0.0
201422_at,0.0
201423_s_at,0.0
201424_s_at,0.0
201425_at,0.0
201426_s_at,0.0
201427_s_at,0.0
201428_at,2.51005671280218e-05
201429_s_at,0.0
201430_s_at,0.0
201431_s_at,2.4496028607542798e-08
201432_at,0.0
201433_s_at,1.1654167359581899e-06
201434_at,0.0
201435_s_at,8.54501389821529e-08
201436_at,8.764756276830881e-07
201437_s_at,0.0
201438_at,0.0
201439_at,0.0
201440_at,0.0
201441_at,1.5653706000295386e-05
201442_s_at,0.0
201443_s_at,2.177440138015e-11
201444_s_at,0.0
201445_at,0.0
201446_s_at,0.0
201447_at,9.467975202388303e-11
201448_at,0.0
201449_at,2.3151867020773037e-06
201450_s_at,0.0
201451_x_at,0.0
201452_at,0.0
201453_x_at,0.0
201454_s_at,1.1826649979508912e-05
201455_s_at,0.0
201456_s_at,0.0
201457_x_at,0.0
201458_s_at,0.0
201459_at,5.793123308846729e-08
201460_at,0.0
201461_s_at,0.0
201462_at,0.0
201463_s_at,0.0
201464_x_at,0.0
201465_s_at,0.0
201466_s_at,1.1894090559912208e-09
201467_s_at,0.0
201468_s_at,0.0
201469_s_at,0.0
201470_at,1.351205260822794e-06
201471_s_at,0.0
201472_at,0.0
201473_at,4.2690934760931846e-07
201474_s_at,0.0
201475_x_at,2.949697890169519e-05
201476_s_at,0.0
201477_s_at,6.912811876997558e-09
201478_s_at,0.0
201479_at,0.0
201480_s_at,0.0
201481_s_at,3.224742327248766e-07
201482_at,0.0
201483_s_at,0.0
201484_at,0.0
201485_s_at,8.921671743963815e-11
201486_at,0.0
201487_at,0.0
201488_x_at,0.0
201489_at,0.0
201490_s_at,0.0
201491_at,8.151500964919149e-05
201492_s_at,0.0
201493_s_at,0.0
201494_at,0.0
201495_x_at,0.0
201496_x_at,0.0
201497_x_at,6.139496750907107e-07
201498_at,1.190170202186682e-06
201499_s_at,1.9028996460498994e-07
201500_s_at,0.0
201501_s_at,0.0
201502_s_at,0.0
201503_at,8.190334347390731e-05
201504_s_at,7.377172775194598e-07
201505_at,0.0
201506_at,0.0
201507_at,0.0
201508_at,0.0
201509_at,0.0
201510_at,0.0
201511_at,0.0
201512_s_at,0.0
201513_at,0.0
201514_s_at,0.0
201515_s_at,0.0
201516_at,0.0
201517_at,0.0
201518_at,0.0
201519_at,0.0
201520_s_at,0.0
201521_s_at,0.0
201522_x_at,0.0
201523_x_at,0.0
201524_x_at,0.00016906617746905684
201525_at,6.261960075768997e-08
201526_at,0.0
201527_at,0.0
201528_at,0.0
201529_s_at,0.0
201530_x_at,0.0
201531_at,0.0
201532_at,0.0
201533_at,0.0
201534_s_at,0.0
201535_at,3.5753301866966654e-06
201536_at,0.0
201537_s_at,0.0
201538_s_at,0.0
201539_s_at,0.0
201540_at,0.0
201541_s_at,0.0
201542_at,0.0
201543_s_at,1.4084195264725087e-06
201544_x_at,0.0
201545_s_at,0.0
201546_at,2.5212694508921895e-05
201547_at,0.0
201548_s_at,0.0
201549_x_at,2.1001833824869025e-05
201550_x_at,0.0
201551_s_at,0.0
201552_at,0.0
201553_s_at,0.0
201554_x_at,7.463017416126242e-10
201555_at,0.0
201556_s_at,0.0
201557_at,0.0
201558_at,0.0
201559_s_at,4.172381835921007e-07
201560_at,1.4380296566462852e-07
201561_s_at,0.0
201562_s_at,0.0
201563_at,6.089678448039295e-06
201564_s_at,0.0
201565_s_at,0.0
201566_x_at,0.0
201567_s_at,2.1140966822363157e-07
201568_at,0.0
201569_s_at,0.0
201570_at,2.7942058214805655e-06
201571_s_at,0.0
201572_x_at,0.0
201573_s_at,0.0
201574_at,0.0
201575_at,0.0
201576_s_at,0.0
201577_at,0.0
201578_at,0.0
201579_at,0.0
201580_s_at,7.354749201708487e-06
201581_at,0.0
201582_at,0.0003600403815733325
201583_s_at,0.0
201584_s_at,0.0
201585_s_at,0.0
201586_s_at,1.6882467210950146e-05
201587_s_at,0.0
201588_at,0.0
201589_at,0.0
201590_x_at,0.0
201591_s_at,5.085074741777554e-06
201592_at,0.0
201593_s_at,0.0
201594_s_at,0.0
201595_s_at,0.0
201596_x_at,0.0
201597_at,1.2552593194979105e-05
201598_s_at,0.0
201599_at,6.3478130658041e-08
201600_at,0.0
201601_x_at,0.0
201602_s_at,0.0
201603_at,0.0
201604_s_at,0.0
201605_x_at,0.00019901626424018753
201606_s_at,0.0
201607_at,0.0
201608_s_at,4.161327728418927e-07
201609_x_at,0.0
201610_at,0.0
201611_s_at,0.0
201612_at,0.0
